,client_id,account_id,A,B,C,D,disp_id,card_id,LEASING,household_order,insurance_order,loan_order,household_trans,insurance_trans,interest credited_trans,loan payment_trans,old age pension_trans,payment for statement_trans,sanctions_trans,birth_year,birth_month,birth_day,gender,district_id,region
0,1,120901,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970,12,13,F,18,south Bohemia
1,2,1641922,34,3,43,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945,2,4,M,1,Prague
2,3,1641922,34,3,43,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940,10,9,F,1,Prague
3,4,182281,2,0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956,12,1,M,5,central Bohemia
4,5,182281,2,0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960,7,3,F,5,central Bohemia
5,6,115023,2,1,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1919,9,22,M,12,central Bohemia
6,7,137063,3,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929,1,25,M,15,south Bohemia
7,8,157347,1,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938,2,21,F,51,east Bohemia
8,9,138570,2,1,6,0,459,51,0.0,51.0,0.0,0.0,23665020.0,0.0,378952.95000000036,0.0,17340000.0,240668.99999999997,0.0,1935,10,16,M,60,south Moravia
9,10,98948,2,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943,5,1,M,57,south Moravia
10,11,98948,2,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950,8,22,F,57,south Moravia
11,12,122353,2,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981,2,20,M,40,north Bohemia
